date, pm25, pm10, o3, no2, so2, co
2020/10/1, 104, 14, 11, 2, , 
2020/10/2, 46, 17, 29, , , 
2020/10/3, 49, 14, 29, 1, , 
2020/10/4, 36, 14, 22, 3, , 
2020/10/5, 39, 11, 20, 3, , 
2020/10/6, 34, 22, 17, 6, , 
2020/10/7, 58, 25, 10, 7, , 
2020/10/8, 70, 22, 9, 6, , 
2020/10/9, 65, 20, 19, 2, , 
2020/10/10, 60, 12, 20, 4, , 
2020/10/11, 40, 16, 20, 8, , 
2020/10/12, 55, 5, 18, 4, , 
2020/10/13, 22, 7, 11, 2, , 
2020/10/14, 25, 20, 3, 6, , 
2020/10/15, 63, 20, 7, 4, , 
2020/10/16, 63, 15, 9, 3, , 
2020/10/17, 52, 14, 18, , , 
2020/10/18, 52, 17, 19, 5, , 
2020/10/19, 55, 23, 18, 5, , 
2020/10/20, 69, 22, 15, 4, , 
2020/10/21, 65, 29, 20, 6, , 
2020/10/22, 66, 34, 11, 7, , 
2020/10/23, 83, 25, 20, 4, , 
2020/10/24, 73, 25, 14, 2, , 
2020/10/25, 78, 22, 18, 2, , 
2020/10/26, 66, 27, 13, 4, , 
2020/10/27, 73, 31, 9, 4, , 
2020/10/28, 83, 23, 12, 4, , 
2020/10/29, 67, 23, 14, 6, , 
2020/10/30, 65, 31, 3, 7, , 
2020/10/31, 87, 26, 13, 2, , 
2020/11/1, 81, 28, 5, 3, , 
2020/11/2, 82, 23, 5, 6, , 
2020/11/3, 63, 26, 6, 8, , 
2020/11/4, 78, 20, 17, 4, , 
2020/11/5, 60, 19, 14, 3, , 
2020/11/6, 64, 16, 11, 2, , 
2020/11/7, 57, 23, 13, 2, , 
2020/11/8, 75, 19, 17, 2, , 
2020/11/9, 56, 18, 18, 2, , 
2020/11/10, 60, 24, 17, 1, , 
2020/11/11, 75, 23, 9, 3, , 
2020/11/12, 73, 31, 6, 5, , 
2020/11/13, 87, 39, 5, 5, , 
2020/11/14, 109, 33, 7, 4, , 
2020/11/15, 96, 24, 9, 5, , 
2020/11/16, 75, 28, 6, 7, , 
2020/11/17, 82, 26, 11, 6, , 
2020/11/18, 79, 21, 20, 4, , 
2020/11/19, 66, 14, 19, 6, , 
2020/11/20, 43, 23, 18, 4, , 
2020/11/21, 74, 16, 20, 2, , 
2020/11/22, 59, 16, 16, 4, , 
2020/11/23, 57, 17, 14, 5, , 
2020/11/24, 56, 34, 10, 10, , 
2020/11/25, 95, 35, 8, 7, , 
2020/11/26, 98, 26, 9, 6, , 
2020/11/27, 81, 13, 13, 4, , 
2020/11/28, 49, 15, 9, 4, , 
2020/11/29, 56, 27, 8, 6, , 
2020/11/30, 83, 34, 8, 6, , 
